"first(Company, false)",max(Rating),Location
Chocolate Makers,3.75,Amsterdam
Compania de Chocolate (Salgado),3.75,Argentina
Bahen & Co.,4.0,Australia
Martin Mayer,3.75,Austria
Belcolade,4.0,Belgium
El Ceibo,3.75,Bolivia
AMMA,4.0,Brazil
Ambrosia,4.0,Canada
Obolo,3.75,Chile
Cacao Hunters,4.0,Colombia
Caribeans,3.5,Costa Rica
Jordis,2.75,Czech Republic
Friis Holm,3.75,Denmark
Kah Kow,3.5,Domincan Republic
Aequare (Gianduja),4.0,Ecuador
Rancho San Jacinto,3.0,Eucador
Adi,3.5,Fiji
Levy,3.5,Finland
A. Morin,4.0,France
Belyzium,4.0,Germany
Omanhene,2.75,Ghana
Grenada Chocolate Co.,3.25,Grenada
Danta,4.0,Guatemala
Mesocacao,3.5,Honduras
Rozsavolgyi,3.75,Hungary
Omnom,3.75,Iceland
Indah,2.5,India
Wilkie's Organic,3.25,Ireland
Holy Cacao,3.75,Israel
Amedei,5.0,Italy
Cacao Store,3.5,Japan
Naive,3.75,Lithuania
Madecasse (Cinagra),4.0,Madagascar
Chokolat Elot (Girard),2.75,Martinique
Ah Cacao,3.0,Mexico
Alexandre,3.5,Netherlands
Captain Pembleton,3.75,New Zealand
Nova Monda,2.75,Niacragua
Momotombo,3.25,Nicaragua
Amazona,3.5,Peru
Malagos,3.5,Philippines
Manufaktura Czekolady,3.75,Poland
Feitoria Cacao,3.0,Portugal
Cacao Arabuco,2.75,Puerto Rico
Britarev,3.25,Russia
Claudio Corallo,4.0,Sao Tome
"Chocolate Tree, The",4.0,Scotland
Fossa,3.75,Singapore
De Villiers,3.0,South Africa
Choco Dong,3.5,South Korea
Amatller (Simon Coll),4.0,Spain
Emerald Estate,3.25,St. Lucia
Tan Ban Skrati,3.25,Suriname
Malmo,3.5,Sweden
Akesson's (Pralus),4.0,Switzerland
Artisan du Chocolat,4.0,United Kingdom
Acalli,4.0,United States
Cacao de Origen,3.75,Venezuela
Grand Place,3.75,Vietnam
Baravelli's,2.75,Wales
