"first(CocoaPercent, false)","first(Rating, false)","first(Location, false)"
0.63,3.75,France
0.74,3.75,Sao Tome
0.7,3.75,United States
0.7,3.75,Chile
0.75,3.75,Bolivia
0.7,3.75,Italy
0.7,3.75,Lithuania
0.7,3.75,Iceland
0.75,3.75,Switzerland
0.7,3.75,Poland
0.69,3.75,Scotland
0.71,3.75,Colombia
0.65,3.5,Philippines
0.67,3.5,Madagascar
0.71,3.5,Finland
0.7,3.5,Denmark
0.77,3.5,Venezuela
0.7,3.5,Domincan Republic
0.7,3.5,New Zealand
0.72,3.5,Costa Rica
0.7,3.5,Netherlands
0.7,3.25,Russia
0.7,3.25,Argentina
0.72,3.25,Peru
0.7,3.25,Suriname
0.75,3.25,Amsterdam
0.82,3.25,Guatemala
0.82,3.25,Grenada
0.75,3.25,Brazil
0.8,3.25,Australia
0.72,3.25,United Kingdom
0.7,3.0,Sweden
0.75,3.0,Eucador
0.7,3.0,Spain
0.7,3.0,Mexico
0.64,3.0,Canada
0.7,3.0,Japan
0.76,3.0,Portugal
0.72,3.0,Vietnam
0.7,2.75,Singapore
0.6,2.75,Fiji
0.83,2.75,Germany
0.8,2.75,Wales
0.64,2.75,Belgium
0.55,2.75,Ecuador
0.8,2.75,Ghana
0.7,2.75,Nicaragua
0.6,2.75,St. Lucia
0.42,2.75,Martinique
0.75,2.75,Niacragua
0.7,2.75,Israel
0.7,2.75,South Korea
0.8,2.75,Honduras
0.63,2.75,Czech Republic
0.76,2.75,Austria
0.61,2.5,India
0.7,2.5,Puerto Rico
0.75,2.5,Ireland
0.7,2.5,South Africa
0.84,2.5,Hungary
